date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
2016-01-02,11549,Saturday,1,1,2016,d_1800,,,,,1,0,1
2016-01-03,11549,Sunday,2,1,2016,d_1801,,,,,1,1,1
2016-01-04,11549,Monday,3,1,2016,d_1802,,,,,1,0,0
2016-01-05,11549,Tuesday,4,1,2016,d_1803,,,,,1,1,1
2016-01-06,11549,Wednesday,5,1,2016,d_1804,,,,,1,1,1
2016-01-07,11549,Thursday,6,1,2016,d_1805,OrthodoxChristmas,Religious,,,1,1,0
2016-01-08,11549,Friday,7,1,2016,d_1806,,,,,1,0,1
2016-01-09,11550,Saturday,1,1,2016,d_1807,,,,,1,1,1
2016-01-10,11550,Sunday,2,1,2016,d_1808,,,,,1,0,0
2016-01-11,11550,Monday,3,1,2016,d_1809,,,,,0,1,1
2016-01-12,11550,Tuesday,4,1,2016,d_1810,,,,,0,1,1
2016-01-13,11550,Wednesday,5,1,2016,d_1811,,,,,0,1,0
2016-01-14,11550,Thursday,6,1,2016,d_1812,,,,,0,0,1
2016-01-15,11550,Friday,7,1,2016,d_1813,,,,,0,1,1
2016-01-16,11551,Saturday,1,1,2016,d_1814,,,,,0,0,0
2016-01-17,11551,Sunday,2,1,2016,d_1815,,,,,0,0,0
2016-01-18,11551,Monday,3,1,2016,d_1816,MartinLutherKingDay,National,,,0,0,0
2016-01-19,11551,Tuesday,4,1,2016,d_1817,,,,,0,0,0
2016-01-20,11551,Wednesday,5,1,2016,d_1818,,,,,0,0,0
2016-01-21,11551,Thursday,6,1,2016,d_1819,,,,,0,0,0
2016-01-22,11551,Friday,7,1,2016,d_1820,,,,,0,0,0
2016-01-23,11552,Saturday,1,1,2016,d_1821,,,,,0,0,0
2016-01-24,11552,Sunday,2,1,2016,d_1822,,,,,0,0,0
2016-01-25,11552,Monday,3,1,2016,d_1823,,,,,0,0,0
2016-01-26,11552,Tuesday,4,1,2016,d_1824,,,,,0,0,0
2016-01-27,11552,Wednesday,5,1,2016,d_1825,,,,,0,0,0
2016-01-28,11552,Thursday,6,1,2016,d_1826,,,,,0,0,0
2016-01-29,11552,Friday,7,1,2016,d_1827,,,,,0,0,0
2016-01-30,11601,Saturday,1,1,2016,d_1828,,,,,0,0,0
2016-01-31,11601,Sunday,2,1,2016,d_1829,,,,,0,0,0
2016-02-01,11601,Monday,3,2,2016,d_1830,,,,,1,1,0
2016-02-02,11601,Tuesday,4,2,2016,d_1831,,,,,1,0,1
2016-02-03,11601,Wednesday,5,2,2016,d_1832,,,,,1,1,1
2016-02-04,11601,Thursday,6,2,2016,d_1833,,,,,1,0,0
2016-02-05,11601,Friday,7,2,2016,d_1834,,,,,1,1,1
2016-02-06,11602,Saturday,1,2,2016,d_1835,,,,,1,1,1
